*Read me: each dataset is created using the quadratic polynom: 2*x*x+-3*x+1, where x is between 0 and 29. Nr of datasets: 20. Increment:2
1,0,3,10,21,36,55,78,105,136,171,210,253,300,351,406,465,528,595,666,741,820,903,990,1081,1176,1275,1378,1485,1596
3,6,17,36,63,98,141,192,251,318,393,476,567,666,773,888,1011,1142,1281,1428,1583,1746,1917,2096,2283,2478,2681,2892,3111,3338
5,12,31,62,105,160,227,306,397,500,615,742,881,1032,1195,1370,1557,1756,1967,2190,2425,2672,2931,3202,3485,3780,4087,4406,4737,5080
7,18,45,88,147,222,313,420,543,682,837,1008,1195,1398,1617,1852,2103,2370,2653,2952,3267,3598,3945,4308,4687,5082,5493,5920,6363,6822
9,24,59,114,189,284,399,534,689,864,1059,1274,1509,1764,2039,2334,2649,2984,3339,3714,4109,4524,4959,5414,5889,6384,6899,7434,7989,8564
11,30,73,140,231,346,485,648,835,1046,1281,1540,1823,2130,2461,2816,3195,3598,4025,4476,4951,5450,5973,6520,7091,7686,8305,8948,9615,10306
13,36,87,166,273,408,571,762,981,1228,1503,1806,2137,2496,2883,3298,3741,4212,4711,5238,5793,6376,6987,7626,8293,8988,9711,10462,11241,12048
15,42,101,192,315,470,657,876,1127,1410,1725,2072,2451,2862,3305,3780,4287,4826,5397,6000,6635,7302,8001,8732,9495,10290,11117,11976,12867,13790
17,48,115,218,357,532,743,990,1273,1592,1947,2338,2765,3228,3727,4262,4833,5440,6083,6762,7477,8228,9015,9838,10697,11592,12523,13490,14493,15532
19,54,129,244,399,594,829,1104,1419,1774,2169,2604,3079,3594,4149,4744,5379,6054,6769,7524,8319,9154,10029,10944,11899,12894,13929,15004,16119,17274
21,60,143,270,441,656,915,1218,1565,1956,2391,2870,3393,3960,4571,5226,5925,6668,7455,8286,9161,10080,11043,12050,13101,14196,15335,16518,17745,19016
23,66,157,296,483,718,1001,1332,1711,2138,2613,3136,3707,4326,4993,5708,6471,7282,8141,9048,10003,11006,12057,13156,14303,15498,16741,18032,19371,20758
25,72,171,322,525,780,1087,1446,1857,2320,2835,3402,4021,4692,5415,6190,7017,7896,8827,9810,10845,11932,13071,14262,15505,16800,18147,19546,20997,22500
27,78,185,348,567,842,1173,1560,2003,2502,3057,3668,4335,5058,5837,6672,7563,8510,9513,10572,11687,12858,14085,15368,16707,18102,19553,21060,22623,24242
29,84,199,374,609,904,1259,1674,2149,2684,3279,3934,4649,5424,6259,7154,8109,9124,10199,11334,12529,13784,15099,16474,17909,19404,20959,22574,24249,25984
31,90,213,400,651,966,1345,1788,2295,2866,3501,4200,4963,5790,6681,7636,8655,9738,10885,12096,13371,14710,16113,17580,19111,20706,22365,24088,25875,27726
33,96,227,426,693,1028,1431,1902,2441,3048,3723,4466,5277,6156,7103,8118,9201,10352,11571,12858,14213,15636,17127,18686,20313,22008,23771,25602,27501,29468
35,102,241,452,735,1090,1517,2016,2587,3230,3945,4732,5591,6522,7525,8600,9747,10966,12257,13620,15055,16562,18141,19792,21515,23310,25177,27116,29127,31210
37,108,255,478,777,1152,1603,2130,2733,3412,4167,4998,5905,6888,7947,9082,10293,11580,12943,14382,15897,17488,19155,20898,22717,24612,26583,28630,30753,32952
39,114,269,504,819,1214,1689,2244,2879,3594,4389,5264,6219,7254,8369,9564,10839,12194,13629,15144,16739,18414,20169,22004,23919,25914,27989,30144,32379,34694
